Word;Çevirisi;Bilinme Durumu
"a, an";"bir, bir";0
about;hakkýnda;0
above;üstünde;0
across;karþýsýnda;0
action;eylem;0
activity;aktivite;0
actor;aktör;0
actress;aktris;0
add;Ekle;0
address;adres;0
adult;yetiþkin;0
advice;tavsiye;0
afraid;korkmuþ;0
after;sonrasýnda;0
afternoon;öðleden sonra;0
again;Yeniden;0
age;yaþ;0
ago;evvel;0
agree;Katýlýyorum;0
air;hava;0
airport;havalimaný;0
all;tüm;0
also;ayrýca;0
always;Her zaman;0
amazing;Harika;0
and;ve;0
angry;sinirli;0
animal;hayvan;0
another;bir diðer;0
answer;Cevap;0
any;hiç;0
anyone;herhangi biri;0
anything;herhangi bir þey;0
apartment;apartman;0
apple;elma;0
April;Nisan;0
area;alan;0
arm;kol;0
around;etrafýnda;0
arrive;varmak;0
art;Sanat;0
article;makale;0
artist;sanatçý;0
as;olarak;0
ask;sormak;0
at;de;0
August;Aðustos;0
aunt;hala;0
away;uzak;0
awesome;süper;0
baby;bebek;0
back;geri;0
bad;kötü;0
bag;sýrt çantasý;0
ball;top;0
banana;muz;0
band;bant;0
bank (money);banka (para);0
bar;çubuk;0
baseball;beyzbol;0
basketball;Basketbol;0
bath;banyo;0
bathroom;banyo;0
be;olmak;0
beach;plaj;0
beautiful;güzel;0
because;çünkü;0
become;olmak;0
bed;yatak;0
bedroom;yatak odasý;0
beer;bira;0
before;önceki;0
begin;baþlamak;0
beginning;baþlangýç;0
behind;arka;0
believe;inanmak;0
below;aþaðýda;0
best;en iyi;0
better;daha iyi;0
between;arasýnda;0
bicycle;bisiklet;0
big;büyük;0
bike;bisiklet;0
bill;fatura;0
bird;kuþ;0
birthday;doðum günü;0
black;siyah;0
blog;Blog;0
blond;sarýþýn;0
blue;mavi;0
boat;bot;0
body;gövde;0
book;kitap;0
boot;bot;0
bored;sýkýlmýþ;0
boring;sýkýcý;0
born;doðmak;0
both;ikisi birden;0
bottle;þiþe;0
box;kutu;0
boy;oðlan;0
boyfriend;erkek arkadaþ;0
bread;ekmek;0
break;kýrmak;0
breakfast;sabah kahvaltýsý;0
bring;getirmek;0
brother;Erkek kardeþ;0
brown;Kahverengi;0
build;inþa etmek;0
building;bina;0
bus;otobüs;0
business;iþletme;0
busy;meþgul;0
but;ancak;0
butter;Tereyaðý;0
buy;satýn almak;0
by;ile;0
bye;Hoþçakal;0
cafe;kafe;0
cake;Kek;0
call;aramak;0
camera;kamera;0
can1;can1;0
cannot;olumsuz;0
capital;Baþkent;0
car;araba;0
card;kart;0
career;kariyer;0
carrot;havuç;0
carry;taþýmak;0
cat;kedi;0
CD;CD;0
cent;sent;0
center;merkez;0
chair;sandalye;0
change;deðiþtirmek;0
chart;çizelge;0
cheap;ucuz;0
check;Kontrol;0
cheese;peynir;0
chicken;Tavuk;0
child;çocuk;0
chocolate;çikolata;0
choose;Seç;0
city;Kent;0
class;sýnýf;0
classroom;sýnýf;0
clean;temiz;0
climb;týrmanmak;0
clock;saat;0
close1;kapat1;0
clothes;çamaþýrlar;0
club;kulüp;0
coat;ceket;0
coffee;Kahve;0
cold;soðuk;0
college;kolej;0
color;renk;0
come;gelmek;0
common;yaygýn;0
company;þirket;0
compare;karþýlaþtýrmak;0
complete;tamamlamak;0
computer;bilgisayar;0
concert;konser;0
conversation;konuþma;0
cook;piþirmek;0
cooking;yemek piþirme;0
cool;serin;0
correct;doðru;0
cost;maliyet;0
could;abilir;0
country;ülke;0
course;kurs;0
cousin;kuzen;0
cow;inek;0
cream;krem;0
create;oluþturmak;0
culture;kültür;0
cup;Fincan;0
customer;müþteri;0
cut;kesmek;0
dad;baba;0
dance;dans;0
dancer;dansçý;0
dancing;dans;0
dangerous;tehlikeli;0
dark;karanlýk;0
date;tarih;0
daughter;kýz evlat;0
day;gün;0
dear;sevgili;0
December;Aralýk;0
decide;karar ver;0
delicious;lezzetli;0
describe;betimlemek;0
description;taným;0
design;tasarým;0
desk;sýra;0
detail;detay;0
dialogue;diyalog;0
dictionary;sözlük;0
die;ölmek;0
diet;diyet;0
difference;fark;0
different;farklý;0
difficult;zor;0
dinner;akþam yemeði;0
dirty;kirli;0
discuss;tartýþmak;0
dish;yemek;0
do1;yap1;0
doctor;doktor;0
dog;köpek;0
dollar;dolar;0
door;kapý;0
down;aþaðý;0
downstairs;alt kat;0
draw;Berabere;0
dress;elbise;0
drink;Ýçmek;0
drive;sürmek;0
driver;sürücü;0
during;sýrasýnda;0
DVD;DVD;0
each;her biri;0
ear;kulak;0
early;erken;0
east;doðu;0
easy;kolay;0
eat;yemek;0
egg;Yumurta;0
eight;sekiz;0
eighteen;on sekiz;0
eighty;seksen;0
elephant;fil;0
eleven;onbir;0
else;baþka;0
email;e-posta;0
end;son;0
enjoy;eðlence;0
enough;yeterli;0
euro;euro;0
even;Bile;0
evening;akþam;0
event;Etkinlik;0
ever;durmadan;0
every;her;0
everybody;herkes;0
everyone;herkes;0
everything;her þey;0
exam;sýnav;0
example;örnek;0
excited;heyecanlý;0
exciting;heyecan verici;0
exercise;egzersiz yapmak;0
expensive;masraflý;0
explain;açýklamak;0
extra;ekstra;0
eye;göz;0
face;yüz;0
fact;hakikat;0
fall;sonbahar;0
false;yanlýþ;0
family;aile;0
famous;tanýnmýþ;0
fantastic;harika;0
far;uzak;0
farm;çiftlik;0
farmer;çiftçi;0
fast;hýzlý;0
fat;yað;0
father;baba;0
favorite;favori;0
February;Þubat;0
feel;hissetmek;0
feeling;his;0
festival;Festival;0
few;az;0
fifteen;on beþ;0
fifth;beþinci;0
fifty;elli;0
fill;doldurmak;0
final;son;0
find;bulmak;0
fine;iyi;0
finish;bitiþ;0
fire;ateþ;0
first;ilk;0
fish;balýk;0
five;beþ;0
flight;uçuþ;0
floor;zemin;0
flower;çiçek;0
fly;uçmak;0
follow;takip et;0
food;Gýda;0
foot;ayak;0
football;Futbol;0
for;için;0
forget;unutmak;0
form;biçim;0
forty;kýrk;0
four;dört;0
fourteen;on dört;0
fourth;dördüncü;0
free;Bedava;0
Friday;Cuma;0
friend;arkadaþ;0
friendly;arkadaþ canlýsý;0
from;itibaren;0
front;ön;0
fruit;meyve;0
full;tam dolu;0
fun;eðlence;0
funny;eðlenceli;0
future;gelecek;0
game;oyun;0
garden;Bahçe;0
geography;coðrafya;0
get;almak;0
girl;kýz;0
girlfriend;kýz arkadaþý;0
give;vermek;0
glass;bardak;0
go;Git;0
good;iyi;0
goodbye;Güle güle;0
grandfather;Büyük baba;0
grandmother;Nene;0
grandparent;büyük ebeveyn;0
gray;gri;0
great;Ýyi;0
green;Yeþil;0
group;grup;0
grow;büyümek;0
guess;tahmin etmek;0
guitar;gitar;0
gym;Jimnastik;0
hair;saç;0
half;yarým;0
hand;el;0
happen;olmak;0
happy;mutlu;0
hard;sert;0
hat;þapka;0
hate;nefret;0
have;Sahip olmak;0
have to;zorunda;0
he;o;0
head;kafa;0
health;saðlýk;0
healthy;saðlýklý;0
hear;duymak;0
hello;merhaba;0
help;Yardým Edin;0
her;o;0
here;burada;0
hey;hey;0
hi;merhaba;0
high;yüksek;0
him;o;0
his;onun;0
history;Tarih;0
hobby;hobi;0
home;ev;0
homework;ev ödevi;0
hope;Ümit etmek;0
horse;atýþ;0
hospital;hastane;0
hot;sýcak;0
hotel;otel;0
hour;saat;0
house;ev;0
how;nasýl;0
however;fakat;0
hundred;yüz;0
hungry;aç;0
husband;erkek eþ;0
I;ben;0
ice;buz;0
ice cream;dondurma;0
idea;fikir;0
if;eðer;0
imagine;hayal etmek;0
important;önemli;0
improve;geliþtirmek;0
in;içinde;0
include;Dahil etmek;0
information;bilgi;0
interest;faiz;0
interested;Ilgilenen;0
interesting;ilginç;0
internet;internet;0
interview;röportaj yapmak;0
into;içine;0
introduce;takdim etmek;0
island;ada;0
it;BT;0
its;onun;0
jacket;ceket;0
January;Ocak;0
jeans;kot;0
job;Görev;0
join;katýlmak;0
juice;Meyve suyu;0
July;Temmuz;0
June;Haziran;0
just;sadece;0
keep;Tut;0
key;anahtar;0
kind (type);tür (tür);0
kitchen;mutfak;0
know;bilmek;0
land;kara;0
language;dil;0
large;büyük;0
last1 (final);son1 (son);0
late;geç;0
later;sonra;0
laugh;kahkaha;0
learn;öðrenmek;0
leave;ayrýlmak;0
left;ayrýldý;0
leg;bacak;0
lesson;ders;0
let;Ýzin Vermek;0
letter;mektup;0
library;kütüphane;0
lie1;yalan1;0
life;hayat;0
light (from the sun/a lamp);ýþýk (güneþten/bir lambadan);0
like (find sb/sth pleasant);beðenmek (sb/sth hoþ bul);0
like (similar);gibi (benzer);0
line;astar;0
lion;aslan;0
list;liste;0
listen;dinlemek;0
little;biraz;0
live1;canlý1;0
local;yerel;0
long1;uzun1;0
look;bakmak;0
lose;kaybetmek;0
lot;pay;0
love;aþk;0
lunch;öðle yemeði;0
machine;makine;0
magazine;dergi;0
main;ana;0
make;Yapmak;0
mall;alýþveriþ merkezi;0
man;adam;0
many;birçok;0
map;harita;0
March;Mart;0
market;pazar;0
married;evli;0
match (contest/correspond);maç (yarýþma/karþýlýk verme);0
May;Mayýs;0
maybe;belki;0
me;ben;0
meal;yemek;0
mean;kastetmek;0
meaning;anlam;0
meat;et;0
meet;tanýþmak;0
meeting;toplantý;0
member;üye;0
menu;Menü;0
message;Ýleti;0
meter;metre;0
midnight;gece yarýsý;0
mile;mil;0
milk;Süt;0
million;milyon;0
minute1;dakika1;0
miss;Özlemek;0
mistake;hata;0
model;modeli;0
modern;modern;0
mom;anne;0
moment;an;0
Monday;Pazartesi;0
money;para;0
month;ay;0
more;daha fazla;0
morning;sabah;0
most;çoðu;0
mother;anne;0
mountain;dað;0
mouse;fare;0
mouth;aðýz;0
move;hareket;0
movie;film;0
much;fazla;0
museum;müze;0
music;müzik;0
must;zorunlu;0
my;benim;0
name;isim;0
natural;doðal;0
near;yakýn;0
need;ihtiyaç;0
negative;olumsuz;0
neighbor;komþu;0
neighborhood;komþu;0
never;asla;0
new;yeni;0
news;haberler;0
newspaper;gazete;0
next;sonraki;0
next to;"bitiþik, yanýnda";0
nice;Güzel;0
night;gece;0
nine;dokuz;0
nineteen;on dokuz;0
ninety;doksan;0
no;hayýr;0
no one;kimse;0
nobody;hiç kimse;0
north;kuzey;0
nose;burun;0
not;olumsuzluk;0
note;Not;0
nothing;hiç bir þey;0
November;Kasým;0
now;þimdi;0
number;sayý;0
nurse;hemþire;0
o’clock;saat;0
object;nesne;0
ocean;okyanus;0
October;Ekim;0
of;nýn-nin;0
off;kapalý;0
office;ofis;0
often;sýklýkla;0
oh;ah;0
OK;TAMAM;0
old;eskimiþ;0
on;üzerinde;0
once;bir Zamanlar;0
one;bir;0
onion;soðan;0
online;internet üzerinden;0
only;sadece;0
open;açýk;0
opinion;fikir;0
opposite;karþýsýnda;0
or;veya;0
orange;Portakal;0
order;emir;0
other;baþka;0
our;bizim;0
out;dýþarý;0
outside;dýþarýda;0
over;üzerinde;0
own;sahip olmak;0
page;sayfa;0
paint;boyamak;0
painting;tablo;0
pair;çift;0
pants;pantolon;0
paper;kaðýt;0
paragraph;paragraf;0
parent;ebeveyn;0
park;park;0
part;Bölüm;0
partner;ortak;0
party;Parti;0
passport;pasaport;0
past;geçmiþ;0
pay;ödemek;0
pen;kalem;0
pencil;kalem;0
people;insanlar;0
pepper;biber;0
perfect;mükemmel;0
period;dönem;0
person;kiþi;0
personal;kiþiye özel;0
phone;telefon;0
photo;Fotoðraf;0
photograph;fotoðraf;0
phrase;ifade etmek;0
piano;piyano;0
picture;resim;0
piece;adet;0
pig;domuz;0
pink;pembe;0
place;yer;0
plan;plan;0
plane;uçak;0
plant;bitki;0
play;Oyna;0
player;oyuncu;0
please;lütfen;0
point;puan;0
police;polis;0
policeman;polis;0
pool;havuz;0
poor;yoksul;0
popular;popüler;0
positive;pozitif;0
possible;mümkün;0
post;Ýleti;0
potato;Patates;0
pound;pound;0
practice;uygulama;0
prefer;tercih;0
prepare;HAZIRLAMA;0
present;Sunmak;0
pretty;tatlý;0
price;fiyat;0
probably;muhtemelen;0
problem;sorun;0
product;ürün;0
program;programý;0
project;proje;0
purple;mor;0
put;koy;0
quarter;çeyrek;0
question;soru;0
quick;hýzlý;0
quickly;hýzlý bir þekilde;0
quiet;sessizlik;0
quite;epeyce;0
radio;radyo;0
rain;yaðmur;0
read;okuman;0
reader;okuyucu;0
reading;okuma;0
ready;hazýr;0
real;gerçek;0
really;Gerçekten;0
reason;sebep;0
red;kýrmýzý;0
relax;rahatlamak;0
remember;hatýrlamak;0
repeat;tekrar et;0
report;bildiri;0
restaurant;restoran;0
result;sonuç;0
return;dönüþ;0
rice;pilav;0
rich;zengin;0
ride;sürmek;0
right;Sað;0
river;nehir;0
road;yol;0
room;oda;0
routine;rutin;0
rule;kural;0
run;koþmak;0
sad;üzgün;0
salad;salata;0
salt;tuz;0
same;ayný;0
sandwich;sandviç;0
Saturday;Cumartesi;0
say;söylemek;0
school;okul;0
science;Bilim;0
scientist;Bilim insaný;0
second1 (next after the first);ikinci1 (birinciden sonraki);0
second1 (unit of time);saniye1 (zaman birimi);0
section;bölüm;0
see;görmek;0
sell;satmak;0
send;göndermek;0
sentence;cümle;0
September;Eylül;0
seven;Yedi;0
seventeen;on yedi;0
seventy;yetmiþ;0
share;Paylaþ;0
she;o;0
sheep;koyun;0
shirt;gömlek;0
shoe;ayakkabý;0
shop;Dükkan;0
shopping;alýþveriþ;0
short;kýsa;0
should;meli;0
show;göstermek;0
shower;duþ;0
sick;hasta;0
similar;benzer;0
sing;þarký söyle;0
singer;þarkýcý;0
sister;kardeþ;0
sit;oturmak;0
situation;durum;0
six;altý;0
sixteen;on altý;0
sixty;altmýþ;0
skill;beceri;0
skirt;etek;0
sleep;uyumak;0
slow;yavaþ;0
small;küçük;0
smart;akýllý;0
snake;yýlan;0
snow;kar;0
so;böyle;0
some;bazý;0
somebody;birisi;0
someone;birisi;0
something;bir þey;0
sometimes;Bazen;0
son;oðul;0
song;þarký;0
soon;yakýnda;0
sorry;Üzgünüm;0
sound;ses;0
soup;çorba;0
south;güney;0
space;Uzay;0
speak;konuþmak;0
special;özel;0
spell;harf harf kodlamak;0
spelling;yazým;0
spend;harcamak;0
sport;spor;0
spring;bahar;0
stand;durmak;0
star;yýldýz;0
start;Baþlat;0
statement;Beyan;0
station;istasyon;0
stay;kalmak;0
still;hâlâ;0
stop;Dur;0
store;maðaza;0
story;Öykü;0
street;sokak;0
strong;kuvvetli;0
student;Öðrenci;0
study;ders çalýþma;0
style;stil;0
subject;ders;0
success;baþarý;0
sugar;Þeker;0
summer;yaz;0
sun;güneþ;0
Sunday;Pazar;0
supermarket;süpermarket;0
sure;Elbette;0
sweater;Kazak;0
swim;yüzmek;0
swimming;yüzme;0
table;masa;0
take;almak;0
talk;konuþmak;0
tall;uzun;0
taxi;taksi;0
tea;Çay;0
teach;öðretmek;0
teacher;öðretmen;0
team;takým;0
teenager;genç;0
telephone;telefon;0
television;televizyon;0
tell;söylemek;0
ten;on;0
tennis;tenis;0
terrible;korkunç;0
test;Ölçek;0
text;Metin;0
than;hariç;0
thank;teþekkür;0
thanks;Teþekkürler;0
that;o;0
the;the;0
theater;tiyatro;0
their;onlarýn;0
them;onlara;0
then;sonra;0
there;orada;0
they;onlar;0
thing;þey;0
think;düþünmek;0
third;üçüncü;0
thirsty;susuz;0
thirteen;on üç;0
thirty;otuz;0
this;Bu;0
thousand;bin;0
three;üç;0
through;vasýtasýyla;0
Thursday;Perþembe;0
ticket;bilet;0
time;zaman;0
tired;yorgun;0
title;Baþlýk;0
to;ile;0
today;bugün;0
together;bir arada;0
toilet;tuvalet;0
tomato;domates;0
tomorrow;yarýn;0
tonight;Bu gece;0
too;fazla;0
tooth;diþ;0
topic;baþlýk;0
tourist;turist;0
town;þehir;0
traffic;trafik;0
train;tren;0
travel;yolculuk;0
tree;aðaç;0
trip;seyahat;0
truck;kamyon;0
true;doðru;0
try;denemek;0
T-shirt;tiþört;0
Tuesday;Salý;0
turn;dönüþ;0
TV;televizyon;0
twelve;on iki;0
twenty;yirmi;0
twice;iki defa;0
two;iki;0
type;tip;0
umbrella;þemsiye;0
uncle;amca dayý;0
under;altýnda;0
understand;anlamak;0
university;Üniversite;0
until;a kadar;0
up;yukarý;0
upstairs;üst katta;0
us;biz;0
use;kullanmak;0
useful;kullanýþlý;0
usually;genellikle;0
vacation;tatil;0
vegetable;sebze;0
very;çok;0
video;video;0
visit;ziyaret etmek;0
visitor;ziyaretçi;0
wait;Bekle;0
waiter;garson;0
wake;uyanmak;0
walk;yürümek;0
wall;duvar;0
want;istek;0
warm;ýlýk;0
wash;yýkamak;0
watch;izlemek;0
water;su;0
way;yol;0
we;Biz;0
wear;giymek;0
weather;hava;0
website;Ýnternet sitesi;0
Wednesday;Çarþamba;0
week;hafta;0
weekend;hafta sonu;0
welcome;Hoþgeldiniz;0
well;kuyu;0
west;batý;0
what;ne;0
when;ne zaman;0
where;nerede;0
which;Hangi;0
white;beyaz;0
who;kim;0
why;Niye;0
wife;kadýn eþ;0
will;niyet;0
win;kazanç;0
window;pencere;0
wine;þarap;0
winter;kýþ mevsimi;0
with;ile birlikte;0
without;olmadan;0
woman;Kadýn;0
wonderful;müthiþ;0
word;kelime;0
work;iþ;0
worker;çalýþan;0
world;dünya;0
would;istemek;0
write;yazmak;0
writer;yazar;0
writing;yazý;0
wrong;yanlýþ;0
yard;avlu;0
yeah;Evet;0
year;yýl;0
yellow;Sarý;0
yes;evet;0
yesterday;dün;0
you;sen;0
young;genç;0
your;senin;0
yourself;kendin;0
